Cell,Number,Slice,Date,Sample,donor_id,Mouse date of birth,Mouse age,Mouse genotype,Targeted layer,Inferred layer,Cre,Exon reads,Intron reads,Intergenic reads,Sequencing batch,Number of genes detected,RNA family,BICCN_cluster_label,RNA type confidence,RNA type top-3,ALMVISp top-3,Length (bp),Yield (pgµl),User,Hold Time (min),Soma depth (µm),Soma depth (4x),Cortical thickness (4x),Cortical thickness (µm),Traced,Exclusion reasons,AP Fano factor,AP amplitude (mV),AP amplitude adaptation index,AP amplitude average adaptation index,AP coefficient of variation,AP threshold (mV),AP width (ms),Afterdepolarization (mV),Afterhyperpolarization (mV),Burstiness,ISI Fano factor,ISI adaptation index,ISI average adaptation index,ISI coefficient of variation,Input resistance (MOhm),Latency (ms),Latency @ +20pA current (ms),Max number of APs,Membrane time constant (ms),Rebound (mV),Rebound number of APs,Resting membrane potential (mV),Rheobase (pA),Sag area (mV*s),Sag ratio,Sag time (s),Spike frequency adaptation,Upstroke-to-downstroke ratio,Wildness,BICCN_ontology_term_id,BICCN_subclass_label,disease_ontology_term_id,assay_ontology_term_id,tissue_ontology_term_id,cell_type_ontology_term_id,development_stage_ontology_term_id,self_reported_ethnicity_ontology_term_id,sex_ontology_term_id,is_primary_data,organism_ontology_term_id,suspension_type,cell_type,assay,disease,organism,sex,tissue,self_reported_ethnicity,development_stage
20171204_sample_2,1,20171204_slice_2,2017-12-04,sample 2,mouse_GTOKH,2017-10-29,36,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,10315633,1060515,947943,1,15953,ET,L5 ET_1,0.88,"L5 ET_1 (88.3%), L5 ET_2 (3.1%), L6 CT Pou3f2 (2.4%)",L5 PT ALM Slco2a1 (99.0%),1955.0,95.19,Fede,8.0,736.7,271.0,535.8,1478.808,y,nan,0.9402046379995208,92.47087314724922,0.9219831728219772,0.9819218817649712,0.116992499494622,-27.95461192727089,1.2800000000000034,0.0,-3.2163131982088085,0.6856892010535557,0.00257039780483933,2.1483308042488622,1.2680888909983383,0.2560777880127193,72.72588842255729,111.8,60.48,16,9.703707094984079,1.0891374559569726,0,-66.97065470814705,300.0,0.0,1.1321513151470142,0.0,0.7777777777777778,3.4325802835605383,0.0,ILX:0770160,L5 ET neuron,PATO:0000461,EFO:0008853,UBERON:0001384,CL:0000679,MmusDv:0000049,na,PATO:0000384,True,NCBITaxon:10090,cell,glutamatergic neuron,Patch-seq,normal,Mus musculus,male,primary motor cortex,na,5 weeks
20171204_sample_4,2,20171204_slice_4,2017-12-04,sample 4,mouse_GTOKH,2017-10-29,36,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,5272324,2706142,1216945,1,17906,IT,L5 IT_2,0.52,"L5 IT_2 (51.9%), L5 IT_4 (9.1%), L6 CT Pou3f2 (8.3%)","L6 IT VISp Penk Fst (34.0%), L5 IT VISp Col27a1 (29.0%), L5 IT VISp Col6a1 Fezf2 (19.0%)",1887.0,80.22,Fede,9.0,726.2,285.7,545.9,1506.684,y,nan,1.064081761227442,88.16828951239586,0.9021570117205558,0.979377468210704,0.12481424647067098,-27.82125398516655,1.3999999999999846,0.0,-6.4414553344249725,0.5371179039301306,0.0018131242486732657,1.1536373507057545,1.0818480742510683,0.20836207885098013,71.38178370147948,76.16000000000003,45.72000000000001,15,7.277961769886832,0.1117884652340848,0,-63.53077519834043,294.2857142857143,0.0,1.0332652008862764,0.0,0.875,3.8930141401785625,0.0,ILX:0770157,L5 IT neuron,PATO:0000461,EFO:0008853,UBERON:0001384,CL:0000679,MmusDv:0000049,na,PATO:0000384,True,NCBITaxon:10090,cell,glutamatergic neuron,Patch-seq,normal,Mus musculus,male,primary motor cortex,na,5 weeks
20171204_sample_5,3,20171204_slice_5,2017-12-04,sample 5,mouse_GTOKH,2017-10-29,36,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,18172944,5610782,1541985,1,20974,IT,L5 IT_1,0.97,L5 IT_1 (97.0%),"L5 IT ALM Cpa6 Gpr88 (55.0%), L5 IT ALM Gkn1 Pcdh19 (36.0%), L5 IT ALM Cbln4 Fezf2 (6.0%)",1869.0,439.16,Fede,8.0,659.8,241.8,530.4,1463.904,y,nan,1.6948383124990316,85.79682372510433,0.8590439047848796,0.9918254680454278,0.17271060182517042,-26.36340074241161,1.4000000000000123,0.0,-0.6206687539815903,0.4954034729315631,0.002006788867503741,1.1927927927927928,1.0652754382604654,0.2491468795892604,120.17848302610201,62.56,35.59999999999999,19,6.8711889073448775,0.6297189220821906,0,-74.63592040985822,300.0,0.0,1.0812973097764378,0.0,0.7272727272727273,3.9712888428191473,0.0,ILX:0770157,L5 IT neuron,PATO:0000461,EFO:0008853,UBERON:0001384,CL:0000679,MmusDv:0000049,na,PATO:0000384,True,NCBITaxon:10090,cell,glutamatergic neuron,Patch-seq,normal,Mus musculus,male,primary motor cortex,na,5 weeks
20171204_sample_6,4,20171204_slice_6,2017-12-04,sample 6,mouse_GTOKH,2017-10-29,36,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,6226321,6139027,1366216,1,18091,ET,L5 ET_4,0.94,"L5 ET_4 (94.0%), L5 ET_2 (5.3%)",L5 PT ALM Npsr1 (99.0%),1999.0,211.71,Fede,8.0,571.7,210.0,501.1,1383.036,y,nan,1.5379304483557414,97.31810167431831,0.930626885530266,0.984171490237332,0.14860440983796466,-25.520984083414078,1.2000000000000066,0.0,4.595445469021796,0.6041909196740394,0.002620608020352145,2.3126419379258127,1.1992421628290952,0.2961790560082196,63.110748248795616,26.36,20.4,21,4.279462303476643,0.7901310267802799,0,-59.41603727862239,400.0,0.0,1.1379550909813023,0.0,0.75,3.527453474336504,0.0,ILX:0770160,L5 ET neuron,PATO:0000461,EFO:0008853,UBERON:0001384,CL:0000679,MmusDv:0000049,na,PATO:0000384,True,NCBITaxon:10090,cell,glutamatergic neuron,Patch-seq,normal,Mus musculus,male,primary motor cortex,na,5 weeks
20171207_sample_1,5,20171207_slice_1,2017-12-07,sample 1,mouse_UGZSW,2017-09-18,80,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST-,3786954,5386523,1499012,1,23100,ET,L5 ET_1,0.91,"L5 ET_1 (90.7%), L5 ET_4 (5.7%)","L5 PT VISp Krt80 (51.0%), L5 PT ALM Slco2a1 (48.0%)",1884.0,986.46,Fede,10.0,772.4,288.9,477.1,1316.796,y,nan,0.272787218166236,86.9474820792675,0.9163183664556802,1.0001843685071412,0.06192676361749293,-44.82974484562874,0.8399999999999797,0.0,-4.912097007036209,0.699328859060403,0.0009577494794814975,19.178082191780828,5.6004532657442185,0.2196462682345873,39.940807516376296,79.84000000000002,49.76,31,10.143395565826417,1.7483333752374082,0,-70.58059254139661,231.11111111111111,0.0,1.3339215138438318,0.0,0.8235294117647058,2.6018830419594106,0.0,ILX:0770160,L5 ET neuron,PATO:0000461,EFO:0008853,UBERON:0001384,CL:0000679,MmusDv:0000055,na,PATO:0000383,True,NCBITaxon:10090,cell,glutamatergic neuron,Patch-seq,normal,Mus musculus,female,primary motor cortex,na,11 weeks
20171207_sample_2,6,20171207_slice_2,2017-12-07,sample 2,mouse_UGZSW,2017-09-18,80,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST-,8720847,7844835,2052263,1,24833,ET,L5 ET_1,0.9,"L5 ET_1 (89.7%), L5 ET_2 (5.4%)",L5 PT ALM Slco2a1 (96.0%),1929.0,1067.33,Fede,9.0,619.7,190.2,490.5,1353.78,y,nan,0.7260645550068782,87.67633885145187,0.7737401067835599,1.0162555602756302,0.1206952680785953,-47.62844368815422,0.920000000000004,0.0,1.7313063144683838,0.4796380090497746,0.0005903974112997902,35.18181818181806,10.269506898156628,0.21606367112099356,38.527035141363704,80.84000000000002,42.280000000000015,48,9.520988081717997,0.7139570877588001,0,-67.97857887148857,240.0,0.0,1.168524677678389,0.0,0.7777777777777778,2.7545239993605453,0.0,ILX:0770160,L5 ET neuron,PATO:0000461,EFO:0008853,UBERON:0001384,CL:0000679,MmusDv:0000055,na,PATO:0000383,True,NCBITaxon:10090,cell,glutamatergic neuron,Patch-seq,normal,Mus musculus,female,primary motor cortex,na,11 weeks
20171207_sample_6,7,20171207_slice_6,2017-12-07,sample 6,mouse_UGZSW,2017-09-18,80,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST-,11706332,7897632,1570407,1,20130,IT,L5 IT_1,0.94,"L5 IT_1 (94.4%), L5 ET_1 (1.7%)","L5 IT ALM Cpa6 Gpr88 (51.0%), L5 IT VISp Batf3 (39.0%), L5 IT VISp Whrn Tox2 (6.0%)",2250.0,356.56,Fede,11.0,798.6,289.6,550.8,1520.2079999999999,y,nan,0.2899605897306669,83.9087590575218,0.9794564161747876,0.9958567148223544,0.06606754127374223,-43.76504197716713,0.920000000000004,0.0,-11.593997478485107,0.169892473118279,0.00039520640522583937,1.2526205450733745,1.0730606110297156,0.13370135365283928,100.07770009271124,45.4,25.960000000000008,28,12.171492689768508,0.7888219224974193,0,-64.71374690830707,80.0,0.0,1.0598989194074615,0.0,0.8666666666666667,2.987844589691221,0.0,ILX:0770157,L5 IT neuron,PATO:0000461,EFO:0008853,UBERON:0001384,CL:0000679,MmusDv:0000055,na,PATO:0000383,True,NCBITaxon:10090,cell,glutamatergic neuron,Patch-seq,normal,Mus musculus,female,primary motor cortex,na,11 weeks
20171207_sample_7,8,20171207_slice_7,2017-12-07,sample 7,mouse_UGZSW,2017-09-18,80,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST-,10300710,3742528,994934,1,21402,IT,L5 IT_1,0.49,"L5 IT_1 (49.0%), L5 IT_2 (42.9%), L6 IT_1 (5.1%)","L5 IT ALM Gkn1 Pcdh19 (69.0%), L6 IT ALM Tgfb1 (14.0%), L5 IT ALM Cpa6 Gpr88 (13.0%)",2032.0,696.4,Fede,10.0,628.6,207.9,522.3,1441.5479999999998,y,nan,0.9826944137463596,82.13865384459496,0.95883262213292,0.9941874968432292,0.12870456854150705,-43.915681540966034,0.9599999999999886,0.0,-12.140847742557526,0.2454688449188577,0.000563650198837566,1.2757697456492647,1.0661620040765127,0.16248767437736558,96.58286710422148,40.00000000000001,25.44000000000002,29,11.976763975341866,0.3952035477184381,0,-67.88246461153031,100.74074074074072,0.0,1.0564523234399672,0.0,0.8666666666666667,3.0039773770026406,0.0,ILX:0770157,L5 IT neuron,PATO:0000461,EFO:0008853,UBERON:0001384,CL:0000679,MmusDv:0000055,na,PATO:0000383,True,NCBITaxon:10090,cell,glutamatergic neuron,Patch-seq,normal,Mus musculus,female,primary motor cortex,na,11 weeks
20171219_sample_1,9,20171219_slice_1,2017-12-19,sample 1,mouse_KKXUD,2017-10-19,61,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,227299,310804,40074,3,11141,IT,L4/5 IT_2,0.99,L4/5 IT_2 (99.1%),L5 IT ALM Lypd1 Gpr88 (96.0%),2356.0,410.96,Fede,10.0,805.2,282.9,604.2,1667.592,y,nan,2.5452709774840208,102.0633727312088,0.6324517830652452,0.9945993798639794,0.1957460003024053,-44.96759548783302,2.0400000000000422,0.0,2.867337316274643,0.0,0.0056304771477933115,1.8989361702127667,1.3196528957341889,0.3324759086806407,178.40405846493576,168.04,113.96,12,22.324663811182944,1.66838320149553,0,-71.85459976196292,60.0,0.0,1.0889342853857384,0.0,0.5714285714285714,5.495025565906528,1.0,ILX:0770174,L4/5 IT,PATO:0000461,EFO:0008853,UBERON:0001384,CL:0000679,MmusDv:0000052,na,PATO:0000384,True,NCBITaxon:10090,cell,glutamatergic neuron,Patch-seq,normal,Mus musculus,male,primary motor cortex,na,8 weeks
20171219_sample_2,10,20171219_slice_2,2017-12-19,sample 2 ,mouse_KKXUD,2017-10-19,61,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,3392481,1859939,441786,1,18440,IT,L5 IT_1,0.99,L5 IT_1 (99.4%),"L5 IT ALM Cpa6 Gpr88 (73.0%), L5 IT ALM Gkn1 Pcdh19 (27.0%)",2173.0,626.48,Fede,10.0,598.6,217.1,483.7,1335.0120000000002,y,nan,3.6112218661779294,95.36909684538841,0.5917894030401296,1.0448666414283359,0.2521514458115029,-46.306818723678596,1.5999999999999903,0.0,0.864814966917038,0.5772200772200772,0.002806246041451729,1.9333333333333302,1.7670857942712348,0.28419157600739753,177.90865445633733,127.08000000000004,77.03999999999998,18,22.107418781008967,2.9481170192453585,0,-69.68299843072892,60.0,0.0,1.122138737387285,0.0,0.8,4.924787458652385,0.0,ILX:0770157,L5 IT neuron,PATO:0000461,EFO:0008853,UBERON:0001384,CL:0000679,MmusDv:0000052,na,PATO:0000384,True,NCBITaxon:10090,cell,glutamatergic neuron,Patch-seq,normal,Mus musculus,male,primary motor cortex,na,8 weeks
