# metadata = 1695923608885.json
# taxonomy hierarchy = ["CCN20230722_CLAS", "CCN20230722_SUBC", "CCN20230722_CLUS"]
# readable taxonomy hierarchy = ["class", "subclass", "cluster"]
cell_id,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
20171204_sample_2,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_022,022 L5 ET CTX Glut,1.0000,CS20230722_CLUS_0364,0364 L5 ET CTX Glut_2,393,1.0000
20171204_sample_4,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_004,004 L6 IT CTX Glut,1.0000,CS20230722_CLUS_0054,0054 L6 IT CTX Glut_5,110,1.0000
20171204_sample_5,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_005,005 L5 IT CTX Glut,1.0000,CS20230722_CLUS_0061,0061 L5 IT CTX Glut_3,192,1.0000
20171204_sample_6,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_022,022 L5 ET CTX Glut,1.0000,CS20230722_CLUS_0356,0356 L5 ET CTX Glut_1,403,1.0000
20171207_sample_1,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_022,022 L5 ET CTX Glut,1.0000,CS20230722_CLUS_0363,0363 L5 ET CTX Glut_2,391,1.0000
20171207_sample_2,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_022,022 L5 ET CTX Glut,1.0000,CS20230722_CLUS_0364,0364 L5 ET CTX Glut_2,393,1.0000
20171207_sample_6,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_005,005 L5 IT CTX Glut,1.0000,CS20230722_CLUS_0061,0061 L5 IT CTX Glut_3,192,0.5000
20171207_sample_7,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_004,004 L6 IT CTX Glut,1.0000,CS20230722_CLUS_0054,0054 L6 IT CTX Glut_5,110,1.0000
20171219_sample_1,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_006,006 L4/5 IT CTX Glut,1.0000,CS20230722_CLUS_0070,0070 L4/5 IT CTX Glut_1,175,0.9900
20171219_sample_2,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_005,005 L5 IT CTX Glut,1.0000,CS20230722_CLUS_0061,0061 L5 IT CTX Glut_3,192,1.0000
